CO-BRANCH;OFFICE;PRODUCT;GROUP;Dec-24;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
431 - BENGKULU;474 - KCP ARGA MAKMUR;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;482 - MEDAN BARU;CICIL_EMAS;Consumer;27;37;113;128;66;111;140;18;209;520;905;1.309;1.724;2.585;1.211;2.457;1.139;1.002;1.723
482 - MEDAN BARU;482 - MEDAN BARU;KPR;Consumer;0;0;0;0;0;0;0;475;450;0;0;0;0;0;0;700;0;0;0
482 - MEDAN BARU;482 - MEDAN BARU;MULTIGUNA;Consumer;110;0;128;1.200;120;100;0;203;130;175;37;60;345;0;70;200;40;58;0
482 - MEDAN BARU;482 - MEDAN BARU;PROHAJJ;Consumer;0;0;0;0;0;0;0;140;0;0;0;140;210;0;0;0;0;0;0
482 - MEDAN BARU;482 - MEDAN BARU;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
371 - PANGKAL PINANG;495 - KCP KOBA;CICIL_EMAS;Consumer;0;0;8;20;76;111;0;46;228;112;191;234;449;90;130;141;494;152;27
371 - PANGKAL PINANG;495 - KCP KOBA;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
371 - PANGKAL PINANG;495 - KCP KOBA;MULTIGUNA;Consumer;600;80;0;0;0;0;65;0;0;0;0;170;0;0;0;0;0;0;0
371 - PANGKAL PINANG;495 - KCP KOBA;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
371 - PANGKAL PINANG;495 - KCP KOBA;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
