CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
421 - PADANG;424 - KCP SOLOK;Deposito;TD;19.782.264.811;16.669.308.141;14.640.987.125;14.741.810.546;14.302.779.556;14.186.918.323;14.124.092.033;12.963.875.331;14.518.369.508;14.594.224.784;14.549.499.596;16.889.768.188;17.814.867.476;17.538.803.957;15.383.639.980;15.413.238.817;16.845.986.742;18.698.649.204
421 - PADANG;424 - KCP SOLOK;Giro;CASA;979320739,5;989593612,2;1.008.742.104;1.171.713.086;1.232.196.157;1.195.655.905;890053115,5;788797301,5;450500320,1;344337980,9;467946931,5;1.317.245.347;990124740,3;1.447.960.551;1.113.147.285;1.148.689.494;1.078.445.067;1.358.874.303
421 - PADANG;424 - KCP SOLOK;Tabungan;CASA;28.771.307.971;24.554.779.106;24.137.675.553;25.067.134.437;25.462.384.959;27.988.364.664;29.874.608.220;30.059.004.976;28.342.469.739;29.017.124.526;29.424.132.871;38.584.647.897;36.936.603.685;33.782.711.791;37.754.966.301;37.062.442.106;34.131.077.017;38.614.519.841
431 - BENGKULU;431 - BENGKULU;Deposito;TD;42.370.037.213;41.739.510.395;53.132.362.217;52.870.354.166;50.194.729.542;50.370.013.266;51.936.234.500;52.277.523.801;58.261.846.150;56.012.217.941;40.141.738.864;52.558.141.291;50.736.839.042;49.204.067.870;48.757.150.130;58.319.532.277;56.598.664.169;56.667.761.518
431 - BENGKULU;431 - BENGKULU;Giro;CASA;17.819.416.801;23.206.453.084;18.953.204.841;16.561.761.120;16.624.125.173;15.659.681.918;14.555.249.010;18.795.803.120;18.329.500.401;14.834.126.390;27.892.770.645;10.082.774.866;10.043.466.204;19.911.610.774;20.683.261.044;18.323.290.588;17.862.465.908;18.037.184.138
431 - BENGKULU;431 - BENGKULU;Tabungan;CASA;82.375.056.269;84.793.283.395;84.480.953.395;83.319.068.833;83.056.872.858;82.642.414.324;81.965.295.030;80.519.383.932;81.939.220.589;84.598.862.260;86.667.673.248;89.518.540.815;83.654.472.990;81.020.088.677;82.300.981.670;82.893.742.267;82.960.141.094;82.108.112.651
431 - BENGKULU;432 - KCP CURUP;Deposito;TD;23.298.760.383;25.929.650.065;28.648.993.514;27.643.879.164;26.354.210.096;28.732.016.855;29.115.180.559;53.764.105.580;55.600.212.604;58.600.756.487;59.147.180.457;43.342.272.285;42.729.393.434;42.112.885.104;42.025.345.910;42.222.408.769;39.879.441.644;38.812.388.298
431 - BENGKULU;432 - KCP CURUP;Giro;CASA;23.131.530.955;22.406.781.527;24.016.510.287;23.777.197.740;23.478.998.660;25.310.313.616;28.530.731.631;4.326.370.860;3.956.219.224;2.752.176.695;3.205.348.649;4.006.988.672;8.078.882.441;8.089.119.107;7.858.248.220;3.752.709.652;3.078.907.487;3.783.039.099
431 - BENGKULU;432 - KCP CURUP;Tabungan;CASA;70.818.036.660;68.907.880.671;67.057.571.935;67.714.241.267;67.840.314.722;67.405.332.182;68.241.058.048;69.113.182.464;74.594.674.801;69.638.040.689;71.113.405.891;74.871.839.441;74.396.259.406;72.031.277.488;74.195.487.907;71.565.312.258;71.149.978.495;73.106.014.208
431 - BENGKULU;441 - JAMBI;Deposito;TD;31.241.584.472;32.543.190.280;28.062.936.926;25.517.575.958;25.026.791.559;24.023.015.235;24.861.010.474;25.221.673.975;25.278.114.246;24.461.865.356;24.271.282.075;24.361.928.548;25.106.882.090;23.632.249.641;23.509.542.935;24.015.235.155;24.084.790.998;23.276.213.676
431 - BENGKULU;441 - JAMBI;Giro;CASA;5.868.547.604;5.759.751.579;4.556.385.765;5.278.967.460;7.788.843.526;8.054.804.980;8.512.750.290;7.199.033.151;7.307.795.854;6.628.435.839;6.058.808.981;5.314.401.726;4.940.001.460;5.214.848.058;7.457.601.994;6.422.655.253;8.180.806.692;8.175.455.940
431 - BENGKULU;441 - JAMBI;Tabungan;CASA;72.843.945.006;68.502.871.368;70.453.491.437;70.612.301.261;69.556.810.835;70.419.608.055;68.471.037.635;66.640.175.374;67.272.812.349;65.408.128.139;67.086.499.860;66.198.554.151;64.788.698.610;62.581.579.425;62.674.662.099;62.820.045.928;63.246.519.866;64.198.520.364
431 - BENGKULU;442 - KCP MUARA BUNGO;Deposito;TD;8.295.657.718;7.965.500.610;9.814.710.940;9.990.067.220;9.845.727.317;10.621.367.683;10.753.006.222;10.418.577.179;10.759.233.981;11.421.589.460;11.144.951.030;12.556.986.745;12.614.830.293;12.318.162.044;12.189.062.674;12.656.653.718;13.219.953.688;12.863.378.091
431 - BENGKULU;442 - KCP MUARA BUNGO;Giro;CASA;405703615,4;433567960;237401197;315879437,5;467312581,1;558027598,8;663798577;434482320,2;516531330,1;395403626,2;471733971,9;527023056,9;290135133,9;396688250,9;359485414,2;609140579;499605145;699996909,9
431 - BENGKULU;442 - KCP MUARA BUNGO;Tabungan;CASA;22.385.233.611;22.322.443.452;22.932.230.992;22.980.938.367;24.790.689.057;23.038.827.779;22.866.533.325;22.426.326.066;22.707.437.018;25.768.033.636;27.418.420.973;28.611.117.916;28.328.744.352;28.182.967.902;27.879.608.968;27.317.690.100;27.426.440.887;30.107.830.999
431 - BENGKULU;473 - KCP MANNA BENGKULU;Deposito;TD;12.503.050.000;12.494.050.000;12.049.050.000;12.256.600.000;12.932.100.000;13.271.150.000;12.921.150.000;13.015.150.000;14.753.197.160;14.639.870.274;13.858.710.191;13.318.660.191;12.431.481.432;12.366.481.432;12.663.481.432;11.805.381.432;11.840.381.432;13.024.381.432
