CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Ada Transaksi;QRIS;0;0;0;0;0;0;0;0;0;0;6;6;1;4;3;12;8;6
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Tidak Bertransaksi;Non QRIS;0;0;1;0;0;1;0;1;1;0;8;3;0;1;4;14;8;9
482 - MEDAN BARU;214 - KCP BINJAI;Ada Transaksi;QRIS;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;6
482 - MEDAN BARU;214 - KCP BINJAI;Tidak Bertransaksi;Non QRIS;1;1;0;0;0;0;0;0;0;0;1;0;0;0;2;5;3;13
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Ada Transaksi;QRIS;0;0;0;0;0;0;0;0;1;0;2;0;0;1;1;1;2;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Tidak Bertransaksi;Non QRIS;1;0;0;0;0;0;1;0;0;2;3;0;0;2;3;5;3;1
221 - PEKANBARU;221 - PEKANBARU;Ada Transaksi;QRIS;0;0;0;0;0;0;0;1;0;3;14;3;4;2;2;4;4;3
221 - PEKANBARU;221 - PEKANBARU;Tidak Bertransaksi;Non QRIS;2;0;1;0;1;0;0;0;0;0;1;0;3;2;0;1;0;2
221 - PEKANBARU;227 - KCP KAMPAR;Ada Transaksi;QRIS;0;0;0;0;1;0;0;1;1;2;5;3;3;6;4;3;3;3
221 - PEKANBARU;227 - KCP KAMPAR;Tidak Bertransaksi;Non QRIS;0;0;0;0;0;0;0;1;1;2;1;3;0;0;0;1;2;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Ada Transaksi;QRIS;0;0;0;0;0;0;1;0;0;0;4;1;0;1;1;4;1;5
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Tidak Bertransaksi;Non QRIS;0;0;0;0;0;0;0;1;2;0;1;2;0;4;5;4;3;2
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Ada Transaksi;QRIS;0;0;0;0;0;1;0;0;0;13;17;36;1;17;1;14;21;9
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Tidak Bertransaksi;Non QRIS;0;1;0;0;0;0;1;0;0;6;12;3;1;0;0;3;0;0
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Ada Transaksi;QRIS;0;0;0;0;0;0;0;1;1;1;0;0;0;10;3;6;3;1
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Tidak Bertransaksi;Non QRIS;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;5;0;3
241 - BANDA ACEH;241 - BANDA ACEH;Ada Transaksi;QRIS;0;0;0;0;0;0;0;0;1;0;0;1;1;3;1;5;3;7
241 - BANDA ACEH;241 - BANDA ACEH;Tidak Bertransaksi;Non QRIS;0;0;0;0;0;0;0;0;0;0;3;0;0;2;4;2;0;4
482 - MEDAN BARU;251 - PEMATANG SIANTAR;Ada Transaksi;QRIS;0;0;0;1;0;0;0;0;0;1;3;0;0;4;2;4;3;5
482 - MEDAN BARU;251 - PEMATANG SIANTAR;Tidak Bertransaksi;Non QRIS;0;0;0;0;0;0;0;0;0;0;4;0;1;1;0;0;1;4
482 - MEDAN BARU;252 - KCP KISARAN;Ada Transaksi;QRIS;0;0;0;0;0;0;0;0;0;0;2;0;0;3;2;10;11;8
482 - MEDAN BARU;252 - KCP KISARAN;Tidak Bertransaksi;Non QRIS;0;0;1;0;0;0;0;0;6;2;1;1;2;0;0;0;2;4
241 - BANDA ACEH;261 - LANGSA;Ada Transaksi;QRIS;0;1;0;0;0;0;1;0;0;1;1;0;4;2;0;1;2;2
241 - BANDA ACEH;261 - LANGSA;Tidak Bertransaksi;Non QRIS;1;2;1;0;1;0;2;0;0;0;0;0;0;4;5;5;2;2
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Ada Transaksi;QRIS;0;0;0;0;0;0;0;0;1;4;3;0;1;1;1;6;4;1
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Tidak Bertransaksi;Non QRIS;0;1;0;0;0;0;0;0;1;5;4;0;2;1;3;1;2;9
351 - LAMPUNG;351 - LAMPUNG;Ada Transaksi;QRIS;4;0;0;1;0;1;1;0;5;16;14;3;1;1;2;4;2;4
351 - LAMPUNG;351 - LAMPUNG;Tidak Bertransaksi;Non QRIS;20;2;2;1;0;0;4;0;0;2;4;10;0;1;0;3;9;9
351 - LAMPUNG;352 - KCP BANDAR JAYA;Ada Transaksi;QRIS;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1
351 - LAMPUNG;352 - KCP BANDAR JAYA;Tidak Bertransaksi;Non QRIS;0;0;0;0;0;0;0;0;1;6;1;0;0;2;1;2;0;5
351 - LAMPUNG;353 - KCP METRO LAMPUNG;Ada Transaksi;QRIS;0;2;0;0;1;0;0;1;1;2;1;0;1;1;3;2;0;1
351 - LAMPUNG;353 - KCP METRO LAMPUNG;Tidak Bertransaksi;Non QRIS;1;4;18;1;21;1;1;19;11;2;0;0;0;1;7;11;3;3
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Ada Transaksi;QRIS;0;1;0;0;0;0;1;1;1;2;2;0;3;2;7;5;4;5
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Tidak Bertransaksi;Non QRIS;5;5;1;1;0;3;2;5;6;2;3;4;3;4;0;1;0;2
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Ada Transaksi;QRIS;1;0;0;0;1;1;3;0;6;5;1;2;0;5;2;3;0;0
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Tidak Bertransaksi;Non QRIS;0;1;0;0;1;1;0;0;1;5;4;2;0;3;1;6;3;6
361 - PALEMBANG;361 - PALEMBANG;Ada Transaksi;QRIS;0;0;1;0;1;1;0;0;0;0;4;10;0;7;2;7;7;11
361 - PALEMBANG;361 - PALEMBANG;Tidak Bertransaksi;Non QRIS;0;0;1;0;0;1;1;1;1;2;1;1;0;2;0;1;0;1
