CO-BRANCH;OFFICE;PRODUCT;GROUP;Dec-24;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
361 - PALEMBANG;401 - KCP ENIM;Deposito;TD;32.041;32.552;32.544;32.844;30.456;30.885;53.466;35.725;35.156;36.880;36.563;63.144;56.896;31.328;30.864;58.276;29.475;28.065;28.467
361 - PALEMBANG;401 - KCP ENIM;Giro;CASA;1.236;746;740;736;735;740;737;735;714;974;974;973;983;983;708;703;710;710;751
361 - PALEMBANG;401 - KCP ENIM;Tabungan;CASA;33.786;33.026;32.350;33.318;36.709;35.182;34.257;32.604;31.943;30.744;30.975;31.429;33.556;32.411;30.581;29.828;28.872;29.525;29.849
371 - PANGKAL PINANG;371 - PANGKAL PINANG;Deposito;TD;72.185;72.803;73.534;67.248;65.372;81.682;85.002;86.996;87.909;88.750;87.446;94.264;91.146;90.081;94.362;94.276;99.572;99.152;99.372
371 - PANGKAL PINANG;371 - PANGKAL PINANG;Giro;CASA;43.042;42.374;41.425;40.917;40.286;2.171;2.512;2.321;2.281;2.485;2.402;2.332;8.767;13.859;8.559;8.422;2.486;2.520;2.790
371 - PANGKAL PINANG;371 - PANGKAL PINANG;Tabungan;CASA;147.455;144.757;143.183;148.862;150.550;145.741;141.994;149.430;144.667;143.697;144.975;147.358;148.753;136.955;133.023;136.881;140.353;143.873;145.495
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;Deposito;TD;23.177;24.242;24.050;24.094;24.678;23.029;23.196;22.791;23.384;23.489;22.578;20.558;19.928;20.803;20.603;19.751;19.823;19.387;19.433
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;Giro;CASA;21;21;21;120;55;55;21;19;19;19;18;18;18;18;18;17;17;17;17
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;Tabungan;CASA;56.369;54.774;50.921;50.951;50.446;49.319;48.272;47.804;47.155;47.440;48.220;50.281;51.999;48.839;48.379;48.627;47.260;46.974;47.308
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;Deposito;TD;57.157;56.522;58.981;57.569;55.958;57.277;57.477;53.162;52.562;52.218;51.783;49.538;49.338;49.386;34.303;49.128;47.969;46.408;46.186
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;Giro;CASA;868;701;667;1.019;874;500;499;784;705;666;474;552;565;548;732;544;580;584;587
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;Tabungan;CASA;42.189;40.869;40.393;42.581;40.711;39.221;39.523;41.450;37.621;39.879;41.135;41.264;46.679;44.579;58.777;41.949;44.059;45.949;46.803
371 - PANGKAL PINANG;495 - KCP KOBA;Deposito;TD;7.841;7.961;8.184;8.236;8.350;8.192;8.049;8.153;8.630;9.433;10.265;10.362;9.304;9.555;9.133;9.135;8.986;8.949;8.959
371 - PANGKAL PINANG;495 - KCP KOBA;Giro;CASA;579;3.676;2.998;781;1.589;3.972;2.790;1.365;2.586;5.475;4.352;7.309;15;15;36;36;14;14;14
371 - PANGKAL PINANG;495 - KCP KOBA;Tabungan;CASA;57.968;56.111;56.218;58.830;58.859;59.168;58.929;56.984;55.534;55.320;55.659;55.841;55.414;55.391;54.637;55.761;54.227;54.404;56.152
421 - PADANG;421 - PADANG;Deposito;TD;64.392;64.453;64.696;82.447;62.836;69.498;68.215;68.297;72.030;76.478;73.785;70.698;55.133;52.673;52.037;51.081;50.163;54.702;51.392
421 - PADANG;421 - PADANG;Giro;CASA;9.895;8.414;20.165;20.339;25.892;12.814;13.472;11.972;14.710;18.680;20.371;23.819;17.308;22.449;28.448;24.146;25.618;26.323;25.008
